caseKey,caseName,caseDescription,caseWeight,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,directionalScore,representativeQuality,riskControl,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,fastLaneRate,middleLaneRate,highRiskLaneRate,challengeExhaustionRate,falseNegativePassRate,publicWillReviewRate,publicSignalMovement,districtAlignment,crossBlocAdmissionRate,affectedGroupSponsorshipRate,averageCosponsors,proposalBondForfeiture,strategicDecoyRate,proposerAccessGini,welfarePerSubmittedBill,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,1.000,current-system,Current U.S.-style system,7200,60.000,439,3.658,60.000,0.544,0.647,0.925,0.061,1.000,0.669,0.722,0.041,0.343,0.939,0.000,0.000,0.000,0.000,0.825,0.015,0.182,0.190,0.832,0.184,0.316,0.000,0.000,0.000,0.168,0.000,0.000,0.051,0.019,0.000,0.667,0.000,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.044,169,1
baseline,Baseline,Moderately polarized three-party legislature.,1.000,simple-majority,Unicameral simple majority,7200,60.000,1868,15.567,60.000,0.571,0.569,0.885,0.259,1.000,0.595,0.637,0.154,0.230,0.741,0.000,0.000,0.000,0.000,0.443,0.105,0.324,0.213,0.829,0.695,0.400,0.000,0.000,0.000,0.171,0.000,0.000,0.090,0.116,0.000,0.554,0.000,0.000,0.000,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.165,0,0
baseline,Baseline,Moderately polarized three-party legislature.,1.000,supermajority-60,Unicameral 60 percent passage,7200,60.000,573,4.775,60.000,0.551,0.650,0.925,0.080,1.000,0.663,0.732,0.053,0.369,0.920,0.000,0.000,0.000,0.000,0.778,0.016,0.144,0.197,0.826,0.277,0.341,0.000,0.000,0.000,0.174,0.000,0.000,0.054,0.021,0.000,0.657,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.058,0,0
baseline,Baseline,Moderately polarized three-party legislature.,1.000,bicameral-majority,Bicameral simple majority,7200,60.000,1142,9.517,60.000,0.555,0.599,0.907,0.159,1.000,0.621,0.675,0.099,0.271,0.841,0.000,0.000,0.000,0.000,0.613,0.049,0.244,0.204,0.832,0.455,0.367,0.000,0.000,0.000,0.168,0.000,0.000,0.075,0.058,0.000,0.597,0.000,0.000,0.000,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.107,0,0
baseline,Baseline,Moderately polarized three-party legislature.,1.000,presidential-veto,Bicameral majority + presidential veto,7200,60.000,736,6.133,60.000,0.544,0.614,0.916,0.102,1.000,0.633,0.683,0.065,0.305,0.898,0.000,0.000,0.000,0.000,0.742,0.028,0.213,0.198,0.830,0.300,0.359,0.000,0.000,0.000,0.170,0.000,0.000,0.064,0.031,0.000,0.617,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.070,418,1
baseline,Baseline,Moderately polarized three-party legislature.,1.000,default-pass,Default pass unless 2/3 block,7200,60.000,6022,50.183,60.000,0.648,0.464,0.644,0.836,1.000,0.531,0.491,0.444,0.105,0.164,0.000,0.000,0.000,0.452,0.021,0.673,0.670,0.257,0.802,0.993,0.600,0.000,0.000,0.000,0.198,0.000,0.000,0.169,0.742,0.000,0.390,0.000,0.000,0.000,0.673,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.411,0,0
baseline,Baseline,Moderately polarized three-party legislature.,1.000,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,7200,60.000,6046,50.383,60.000,0.648,0.463,0.642,0.840,1.000,0.530,0.490,0.445,0.104,0.160,0.000,0.000,0.000,0.453,0.023,0.673,0.667,0.260,0.801,0.988,0.611,0.105,0.612,2.072,0.199,0.000,0.000,0.170,0.753,0.000,0.389,0.000,0.000,0.000,0.673,0.000,0.000,0.000,0.000,0.000,3.909,0.202,0.205,0.195,0.200,0.199,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.411,0,0
baseline,Baseline,Moderately polarized three-party legislature.,1.000,default-pass-strategic-lobbying,Default pass + strategic lobbying,7200,60.000,6019,50.158,60.000,0.648,0.464,0.644,0.836,1.000,0.530,0.491,0.443,0.104,0.164,0.000,0.000,0.000,0.451,0.026,0.671,0.668,0.258,0.802,0.991,0.605,0.114,0.598,1.894,0.198,0.000,0.000,0.170,0.748,0.000,0.389,0.000,0.000,0.000,0.671,0.000,0.000,0.000,0.000,0.000,3.599,0.166,0.154,0.219,0.333,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.410,0,0
baseline,Baseline,Moderately polarized three-party legislature.,1.000,default-pass-adaptive-proposers,Default pass + adaptive proposers,7200,60.000,6229,51.908,59.883,0.662,0.468,0.652,0.865,0.998,0.526,0.489,0.455,0.118,0.135,0.002,0.000,0.000,0.442,0.018,0.582,0.603,0.250,0.812,0.995,0.590,0.000,0.000,0.000,0.188,0.998,0.088,0.168,0.794,0.015,0.394,0.000,0.000,0.000,0.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.423,0,0
baseline,Baseline,Moderately polarized three-party legislature.,1.000,default-pass-adaptive-proposers-lobbying,Default pass + adaptive proposers + strategic lobbying,7200,60.000,6205,51.708,59.875,0.661,0.468,0.653,0.862,0.998,0.526,0.489,0.453,0.118,0.138,0.002,0.000,0.000,0.444,0.016,0.581,0.605,0.251,0.813,0.991,0.596,0.117,0.587,1.856,0.187,0.998,0.088,0.168,0.786,0.014,0.395,0.000,0.000,0.000,0.581,0.000,0.000,0.000,0.000,0.000,3.614,0.167,0.155,0.216,0.333,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.422,0,0
