reviewId,sourceRecordId,adjudicatorId,humanCompleted,adjudicatedDate,finalTreatment,sourceLocator,rationale
E001,utility-air-regulatory-group-v-epa-2014:2792922,,,,,,
E002,massachusetts-v-epa-2007:3000502,,,,,,
E003,utility-air-regulatory-group-v-epa-2014:2758285,,,,,,
E004,rapanos-v-united-states-2006:2999595,,,,,,
E005,sackett-v-epa-2023:10791418,,,,,,
E006,rapanos-v-united-states-2006:3048582,,,,,,
E007,sackett-v-epa-2023:10837325,,,,,,
E008,rapanos-v-united-states-2006:77830,,,,,,
E009,rapanos-v-united-states-2006:202476,,,,,,
E010,michigan-v-epa-2015:3148970,,,,,,
E011,rapanos-v-united-states-2006:3000412,,,,,,
E012,rapanos-v-united-states-2006:3049590,,,,,,
E013,massachusetts-v-epa-2007:52276,,,,,,
E014,massachusetts-v-epa-2007:65030,,,,,,
E015,rapanos-v-united-states-2006:3038351,,,,,,
E016,michigan-v-epa-2015:4179039,,,,,,
