reviewId,sourceRecordId,sourceDecision,sourceCitation,citingCaseName,sourceUrl,fullTextSourceUrl,contextSha256,coderId,humanCompleted,codedDate,fullTextReviewed,treatment,opinionRole,proposition,sourceLocator,rationale,confidence,remedyFidelity,uncertaintyNotes
E001,utility-air-regulatory-group-v-epa-2014:2792922,Utility Air Regulatory Group v. EPA,573 U.S. 302 (2014),"Michael Siluk, Jr. v. Catherine Merwin",https://www.courtlistener.com/opinion/2792922/michael-siluk-jr-v-catherine-merwin/,https://storage.courtlistener.com/pdf/2015/04/10/michael_siluk_jr._v._catherine_merwin.pdf,c5da3f43b0c8cd2484817bc7c934ed6c88edbf874cc21509ebcf770edf0826d7,,,,,,,,,,,,
E002,massachusetts-v-epa-2007:3000502,Massachusetts v. EPA,549 U.S. 497 (2007),United States v. Genendo Pharmaceutic,https://www.courtlistener.com/opinion/3000502/united-states-v-genendo-pharmaceutic/,https://storage.courtlistener.com/pdf/2007/05/10/united_states_v._genendo_pharmaceutic.pdf,fbd396fe82194225445c2187bd2b24c9708858bcd236c63b9c629475cc82e31f,,,,,,,,,,,,
E003,utility-air-regulatory-group-v-epa-2014:2758285,Utility Air Regulatory Group v. EPA,573 U.S. 302 (2014),Boris Khazin v. TD Ameritrade Holding Corp,https://www.courtlistener.com/opinion/2758285/boris-khazin-v-td-ameritrade-holding-corp/,https://storage.courtlistener.com/pdf/2014/12/08/boris_khazin_v._td_ameritrade_holding_corp.pdf,e1bcabb3e96884ce99e16820917c2e186d32b895881b93e25ef6cadc118bbe92,,,,,,,,,,,,
E004,rapanos-v-united-states-2006:2999595,Rapanos v. United States,547 U.S. 715 (2006),United States v. Gerke Excavating Inc,https://www.courtlistener.com/opinion/2999595/united-states-v-gerke-excavating-inc/,https://storage.courtlistener.com/pdf/2006/09/22/united_states_v._gerke_excavating_inc.pdf,dfc2d65594368771bc922ded52fae22d928f75e6dc9c7b2eed36439d000715f4,,,,,,,,,,,,
E005,sackett-v-epa-2023:10791418,Sackett v. EPA,598 U.S. 651 (2023),Secretary United States Department of Labor v. Nursing Home Care Management Inc.,https://www.courtlistener.com/opinion/10324830/secretary-united-states-department-of-labor-v-nursing-home-care-management/,https://storage.courtlistener.com/pdf/2025/01/31/secretary_united_states_department_of_labor_v._nursing_home_care_management.pdf,f2565d3acf272f290a09d401057227e761e230332e3c5d94df8e662062c751c5,,,,,,,,,,,,
E006,rapanos-v-united-states-2006:3048582,Rapanos v. United States,547 U.S. 715 (2006),Morales-Izquierdo v. Gonzales,https://www.courtlistener.com/opinion/3048582/morales-izquierdo-v-gonzales/,https://storage.courtlistener.com/pdf/2007/05/07/morales-izquierdo_v._gonzales.pdf,a37aa778c32af0e21cccd566d26fcea080991a24a96ea91e8c799b47abdfdc26,,,,,,,,,,,,
E007,sackett-v-epa-2023:10837325,Sackett v. EPA,598 U.S. 651 (2023),Lynwood Pickens v. Hamilton-Ryker IT Solutions,https://www.courtlistener.com/opinion/10370737/lynwood-pickens-v-hamilton-ryker-it-solutions/,https://storage.courtlistener.com/pdf/2025/04/01/lynwood_pickens_v._hamilton-ryker_it_solutions.pdf,fd4e92762dbd7ac2fd56bc387359ea330db1b3d7a6077425dd4c7ca655cdcf44,,,,,,,,,,,,
E008,rapanos-v-united-states-2006:77830,Rapanos v. United States,547 U.S. 715 (2006),United States v. Robison,https://www.courtlistener.com/opinion/77830/united-states-v-robison/,https://storage.courtlistener.com/pdf/2007/10/24/USA_v._Charles_Barry_Robison.pdf,f9046264c13805c33a49dd28729754e0c17259cae84eb70e0c9de6a05e6ea76c,,,,,,,,,,,,
E009,rapanos-v-united-states-2006:202476,Rapanos v. United States,547 U.S. 715 (2006),United States v. Johnson,https://www.courtlistener.com/opinion/202476/united-states-v-johnson/,https://storage.courtlistener.com/pdf/2006/10/31/US_v._Johnson.pdf,80688a1ba204e345ffa67683555f5ea261c0120984242b8fa73f8bc76f368789,,,,,,,,,,,,
E010,michigan-v-epa-2015:3148970,Michigan v. EPA,576 U.S. 743 (2015),Kentucky Coal Ass'n v. Tennessee Valley Authority,https://www.courtlistener.com/opinion/3148970/kentucky-coal-assn-v-tennessee-valley-authority/,https://storage.courtlistener.com/pdf/2015/10/23/kentucky_coal_association_v._tva.pdf,f37fe1c1bd0a0f2bdb128271b64bc8b4b447a4c3cf8464f329343e44aa1f0770,,,,,,,,,,,,
E011,rapanos-v-united-states-2006:3000412,Rapanos v. United States,547 U.S. 715 (2006),"Rockstead, Shirley v. City Crystal Lake",https://www.courtlistener.com/opinion/3000412/rockstead-shirley-v-city-crystal-lake/,https://storage.courtlistener.com/pdf/2007/04/10/rockstead_shirley_v._city_crystal_lake.pdf,49bb58e7916c218c90f8d1e509ef99df848488b2e25c0a512cab1c31992593ce,,,,,,,,,,,,
E012,rapanos-v-united-states-2006:3049590,Rapanos v. United States,547 U.S. 715 (2006),Northern California River Watch v. City of Healdsburg,https://www.courtlistener.com/opinion/3049590/northern-california-river-watch-v-city-of-healdsbu/,https://storage.courtlistener.com/pdf/2007/08/06/northern_california_river_watch_v._city_of_healdsburg.pdf,a4bb33fa2e84a00303a7f81e1c11297c7cda60fca8ff520b8abe855ab405228c,,,,,,,,,,,,
E013,massachusetts-v-epa-2007:52276,Massachusetts v. EPA,549 U.S. 497 (2007),State of Texas v. USA,https://www.courtlistener.com/opinion/52276/state-of-texas-v-usa/,https://storage.courtlistener.com/pdf/2007/09/13/State_of_Texas_v._USA_et_al.pdf,3a02d2fed367426b3f457a6c303e102b34fc3f1abe3076ed87434f9f8aaa7cab,,,,,,,,,,,,
E014,massachusetts-v-epa-2007:65030,Massachusetts v. EPA,549 U.S. 497 (2007),"ARTHUR W. TIFFORD, PA v. Tandem Energy Corp.",https://www.courtlistener.com/opinion/65030/arthur-w-tifford-pa-v-tandem-energy-corp/,https://storage.courtlistener.com/pdf/2009/03/11/Tifford_v._Tandem_Energy_Corp_et_al.pdf,c396d01ad43b79fbb9029452b6284e9de981351890c78aabc63fd27f9b794ebf,,,,,,,,,,,,
E015,rapanos-v-united-states-2006:3038351,Rapanos v. United States,547 U.S. 715 (2006),Northern California River Watch v. City of Healdsburg,https://www.courtlistener.com/opinion/3038351/northern-california-river-watch-v-city-of-healdsburg/,https://storage.courtlistener.com/pdf/2006/08/10/northern_california_river_watch_v._city_of_healdsburg.pdf,45d4c53badb0b1e2b8b4b777b4eb8d926bf508a8bb7c5f212bc2b77ccb699203,,,,,,,,,,,,
E016,michigan-v-epa-2015:4179039,Michigan v. EPA,576 U.S. 743 (2015),Advanced Energy Management Alliance v. Federal Energy Regulatory Commission,https://www.courtlistener.com/opinion/4401786/advanced-energy-management-alliance-v-federal-energy-regulatory-commission/,https://storage.courtlistener.com/pdf/2017/06/20/advanced_energy_management_alliance_v._ferc.pdf,afc72f50ee45f8da5d10e973e8c3f64cfbd2126609c0c68017cb2e75c8e8ab41,,,,,,,,,,,,
