docketNumber,paidOrIfp,docketDisposition,docketDispositionDate,journalDispositions,journalDispositionDates,reconciliationStatus,officialDocketUrl,reviewNote
23-1,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-1.html,Current docket outcome matches at least one parsed Journal row.
23-2,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-2.html,Current docket outcome matches at least one parsed Journal row.
23-3,paid,granted,2023-11-03,granted,2023-11-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-3.html,Current docket outcome matches at least one parsed Journal row.
23-4,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-4.html,Current docket outcome matches at least one parsed Journal row.
23-5,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-5.html,Current docket outcome matches at least one parsed Journal row.
23-6,paid,denied,2023-12-11,denied,2023-12-11,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-6.html,Current docket outcome matches at least one parsed Journal row.
23-7,paid,denied,2023-12-11,denied,2023-12-11,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7.html,Current docket outcome matches at least one parsed Journal row.
23-8,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-8.html,Current docket outcome matches at least one parsed Journal row.
23-9,paid,gvr_or_remand,2024-06-24,gvr_or_remand,2024-06-24,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-9.html,Current docket outcome matches at least one parsed Journal row.
23-10,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-10.html,Current docket outcome matches at least one parsed Journal row.
23-11,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-11.html,Current docket outcome matches at least one parsed Journal row.
23-12,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-12.html,Current docket outcome matches at least one parsed Journal row.
23-13,paid,denied,2023-11-20,denied,2023-11-20,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-13.html,Current docket outcome matches at least one parsed Journal row.
