priorityTier,term,docketNumber,sourceRowCount,sourceRecordIds,sourceUrl,orderEvents,externalSourceUrl,externalObservationDate,externalObservationLocator,observedActorAction,policyStatus,sourceSha256,reviewStatus,completionRule
1_granted_matter,OT2023,23-411,2,shadow_docket_database_v3-0.csv:line 389010;shadow_docket_database_v3-0.csv:line 389011,https://www.supremecourt.gov/docket/docketfiles/html/public/23-411.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2023-10-20"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""injunction_stayed_until_merits_judgment"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 389010""},{""applicationClass"":""Stay"",""dispositionDate"":""2023-10-20"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""injunction_stayed_until_merits_judgment"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 389011""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2023,23-727,1,shadow_docket_database_v3-0.csv:line 390600,https://www.supremecourt.gov/docket/docketfiles/html/public/23-727.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2024-01-05"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""injunction_stayed_until_merits_dig_then_stay_vacated"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 390600""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2023,23-7809,1,shadow_docket_database_v3-0.csv:line 395727,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7809.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2024-07-16"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""execution_stayed_until_merits_judgment"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 395727""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2023,23-939,1,shadow_docket_database_v3-0.csv:line 392432,https://www.supremecourt.gov/docket/docketfiles/html/public/23-939.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2024-02-28"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""court_of_appeals_mandate_withheld_until_merits_judgment"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 392432""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2023,23A1002,1,shadow_docket_database_v3-0.csv:line 394400,https://www.supremecourt.gov/docket/docketfiles/html/public/23a1002.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2024-05-15"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""stay_remained_through_merits_then_terminated_on_affirmance"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 394400""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2023,23A302,1,shadow_docket_database_v3-0.csv:line 388887,https://www.supremecourt.gov/docket/docketfiles/html/public/23A302.html,"[{""applicationClass"":""Vacate"",""dispositionDate"":""2023-10-16"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""injunction_vacated_pending_appeal"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 388887""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2023,23A308,1,shadow_docket_database_v3-0.csv:line 388608,https://www.supremecourt.gov/Search.aspx?FileName=%2Fdocket%2Fdocketfiles%2Fhtml%2Fpublic%2F23a308.html,"[{""applicationClass"":""Vacate"",""dispositionDate"":""2023-10-10"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""execution_stay_vacated"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 388608""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2023,23A607,1,shadow_docket_database_v3-0.csv:line 391366,https://www.supremecourt.gov/docket/docketfiles/html/public/23a607.html,"[{""applicationClass"":""Vacate"",""dispositionDate"":""2024-01-22"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""injunction_vacated_pending_appeal"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 391366""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2023,23A763,1,shadow_docket_database_v3-0.csv:line 393434,https://www.supremecourt.gov/docket/docketfiles/html/public/23a763.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2024-04-15"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""injunction_stayed_except_named_plaintiffs_pending_appeal_or_cert"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 393434""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2023,23A994,1,shadow_docket_database_v3-0.csv:line 394399,https://www.supremecourt.gov/docket/docketfiles/html/public/23a994.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2024-05-15"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""stay_remained_through_merits_then_terminated_on_affirmance"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 394399""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2024,24-1113,1,shadow_docket_database_v3-0.csv:line 402701,https://www.supremecourt.gov/docket/docketfiles/html/public/24-1113.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2025-09-19"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""state_trial_stayed_until_scotus_mandate"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 402701""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2024,24-1177,1,shadow_docket_database_v3-0.csv:line 401226,https://www.supremecourt.gov/docket/docketfiles/html/public/24-1177.html,"[{""applicationClass"":""Injunction"",""dispositionDate"":""2025-05-16"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""removal_enjoined_pending_fifth_circuit_and_cert"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 401226""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2024,24A1030,1,shadow_docket_database_v3-0.csv:line 401193,https://www.supremecourt.gov/docket/docketfiles/html/public/24a1030.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2025-05-06"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""injunction_stayed_pending_appeal_or_cert"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 401193""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2024,24A1059,1,shadow_docket_database_v3-0.csv:line 401249,https://www.supremecourt.gov/docket/docketfiles/html/public/24a1059.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2025-05-19"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""district_order_stayed_pending_appeal_or_cert"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 401249""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2024,24A1063,1,shadow_docket_database_v3-0.csv:line 401699,https://www.supremecourt.gov/docket/docketfiles/html/public/24a1063.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2025-06-06"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""injunction_stayed_pending_appeal_or_cert"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 401699""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2024,24A1079,1,shadow_docket_database_v3-0.csv:line 401533,https://www.supremecourt.gov/docket/docketfiles/html/public/24a1079.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2025-05-30"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""district_order_stayed_pending_appeal_or_cert"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 401533""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2024,24A1153,1,shadow_docket_database_v3-0.csv:line 401941,https://www.supremecourt.gov/docket/docketfiles/html/public/24a1153.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2025-06-23"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""preliminary_injunction_stayed_pending_appeal_or_cert"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 401941""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2024,24A1174,1,shadow_docket_database_v3-0.csv:line 402282,https://www.supremecourt.gov/docket/docketfiles/html/public/24a1174.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2025-07-08"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""preliminary_injunction_stayed_pending_appeal_or_cert"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 402282""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
1_granted_matter,OT2024,24A1203,1,shadow_docket_database_v3-0.csv:line 402313,https://www.supremecourt.gov/docket/docketfiles/html/public/24a1203.html,"[{""applicationClass"":""Stay"",""dispositionDate"":""2025-07-14"",""dispositionType"":""Granted"",""downstreamPolicyStatus"":""preliminary_injunction_stayed_pending_appeal_or_cert"",""reliefGranted"":""1"",""sourceRecordId"":""shadow_docket_database_v3-0.csv:line 402313""}]",,,,,,,pending_external_implementation_evidence,"link external lower-court order or official implementation record to the specific order event; retain date, locator, actor, action and unavailable-source log"
