priorityTier,pilotSelected,term,docketNumber,sourceRecordId,sourceUrl,paidOrIfp,missingCharacteristics,neededDocuments,codingStatus,snapshotDate
1_cvsg_brief,no,OT2024,24-277,docket:24-277; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-277.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection;sgRecommendation,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing; invited SG brief,pending_source_and_human_coding,2026-07-26
1_cvsg_brief,no,OT2024,24-1015,docket:24-1015; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-1015.html,paid,petitionerType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection;sgRecommendation,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing; invited SG brief,pending_source_and_human_coding,2026-07-26
1_cvsg_brief,no,OT2024,24-1130,docket:24-1130; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-1130.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection;sgRecommendation,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing; invited SG brief,pending_source_and_human_coding,2026-07-26
1_cvsg_brief,no,OT2024,24-759,docket:24-759; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-759.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection;sgRecommendation,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing; invited SG brief,pending_source_and_human_coding,2026-07-26
1_cvsg_brief,no,OT2023,23-1360,docket:23-1360; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-1360.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection;sgRecommendation,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing; invited SG brief,pending_source_and_human_coding,2026-07-24
1_cvsg_brief,no,OT2024,24-620,docket:24-620; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-620.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection;sgRecommendation,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing; invited SG brief,pending_source_and_human_coding,2026-07-26
1_cvsg_brief,no,OT2024,24-350,docket:24-350; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-350.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection;sgRecommendation,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing; invited SG brief,pending_source_and_human_coding,2026-07-26
1_cvsg_brief,no,OT2023,23-947,docket:23-947; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-947.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection;sgRecommendation,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing; invited SG brief,pending_source_and_human_coding,2026-07-24
1_cvsg_brief,no,OT2023,23-9,docket:23-9; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-9.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection;sgRecommendation,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing; invited SG brief,pending_source_and_human_coding,2026-07-24
1_cvsg_brief,no,OT2024,24-917,docket:24-917; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-917.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection;sgRecommendation,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing; invited SG brief,pending_source_and_human_coding,2026-07-26
